Akun,Tweet,Label,Tweet_Tokens,Compound_Score,Sentiments,Subjectivity,Polarity,Analysis
https://twitter.com/amongusvibes,ernestprakasa kkn di desa penari warkop dki pengabdi setan dilan mencetak angka luar biasa di box office seluruh indonesia nggak ada agenda representasi chindo nggak ada aktivisme mengenal kehidupan minoritas hanya ingin mengajak orang berseg seg watch and learn ernest https t co ci ehwipo,netral,ernestprakasa kkn desa tari warkop dki abdi setan dil cetak angka box office indonesia nggak agenda representasi chindo nggak aktivisme kenal hidup minoritas ajak orang seg seg watch learn ernest https co ci ehwipo,0.0,netral,0.0,0.0,netral
https://twitter.com/JesuisNeema,itzyjlsu woe ini dia kembang desa kkn desa penari ,netral,itzyjlsu woe kembang desa kkn desa tari,-0.4215,negatif,0.0,0.0,netral
https://twitter.com/tabooteee,moviemenfes film lokal gak laris bukan karena banyak penayangan film luar tapi emang film lokalnya aja yang kalah saing isinya horor gabut ama komedi garing doang klo film nya kurang bagus minimal marketingnya bagus lahh buktinya kkn di desa penari bisa laku wlaupun filmnya garing,netral,moviemenfes film lokal gak laris tayang film emang film lokal aja kalah saing isi horor gabut ama komedi garing doang klo film nya bagus minimal marketingnya bagus lahh bukti kkn desa tari laku wlaupun film garing,0.0,netral,0.6,-0.1,negatif
https://twitter.com/BNGPY,petirbaelish tanyarlfes oh rt petirbaelish tanyarlfes anak twitter lama dah mengalami mbak bibit unggul amrazing vs sabrina joko anwar circle k triomacan pocong ririn waluh kukus air minum ibu chatime skinnyfab kkn desa penari ika natassa cowok kacamata safa space afi sepatu docmart,netral,petirbaelish tanyarlfes oh rt petirbaelish tanyarlfes anak twitter dah alami mbak bibit unggul amrazing vs sabrina joko anwar circle k triomacan pocong ririn waluh kukus air minum chatime skinnyfab kkn desa tari ika natassa cowok kacamata safa space afi sepatu docmart,0.0,netral,0.0,0.0,netral
https://twitter.com/pulpenpilottt,winddflowerrr desa penari,netral,winddflowerrr desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/saftaramadon_,alhevk gatau aja kmu kades desa penari,netral,alhevk gatau aja kmu kades desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/chllsfs,sempet jarang main twitter ada kali tahun sekalinya buka cuma liat thread kkn desa penari ,netral,sempet jarang main twitter kali sekali buka liat thread kkn desa tari,0.0,netral,0.3333333333333333,0.16666666666666666,positif
https://twitter.com/coklattcabe,kkn desa penari sih,netral,kkn desa tari sih,0.0,netral,0.0,0.0,netral
https://twitter.com/cassiotaku,tanyarlfes adora hilman ini yg bikin balik lagi ke twitter wkwk chatime kkn desa penari safa berflower apalagi yaa harusnya dulu ak bookmark semua,netral,tanyarlfes adora hilman yg bikin twitter wkwk chatime kkn desa tari safa berflower yaa ak bookmark,0.0,netral,0.0,0.0,netral
https://twitter.com/icaputh,tanyarlfes skinnyfab afi cappadocia ugly cake kkn desa penari reinhard,netral,tanyarlfes skinnyfab afi cappadocia ugly cake kkn desa tari reinhard,-0.5106,negatif,1.0,-0.7,negatif
https://twitter.com/zy_zzzz,haloodhita langitponpel ketemu pas kkn di desa penari ,netral,haloodhita langitponpel ketemu pas kkn desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/txtdarislotindo,tanyarlfes kkn di desa penari ga sih,netral,tanyarlfes kkn desa tari ga sih,0.0,netral,0.0,0.0,netral
https://twitter.com/ayambakar_7,tapi sudah nonton kkn desa penari,netral,nonton kkn desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/pppallganmat,his sukma still stuck in desa penari,netral,sukma still stuck desa tari,-0.25,negatif,0.0,0.0,netral
https://twitter.com/matchagranolla,ini mksdnya gmn y kok malah mau dikirim ke bwi mau dikirim ke desa penari kah https t co uvjxalwwev,netral,mksdnya gmn kirim bwi kirim desa tari kah https co uvjxalwwev,0.0,netral,0.0,0.0,netral
https://twitter.com/cekertireks,optirmal mandinya di kolam air yang di desa penari wkwkwkwwkwkw,netral,optirmal mandi kolam air desa tari wkwkwkwwkwkw,0.0,netral,0.0,0.0,netral
https://twitter.com/crocuscream,taunya yg zaman ini yg di menfess banyak yg gatau kecuali kkn desa penari karena pas itu aku lagi sekolah asrama dan tydack boleh bawa hp ,netral,tau yg zaman yg menfess yg gatau kecuali kkn desa tari pas sekolah asrama tydack bawa hp,0.0,netral,0.0,0.0,netral
https://twitter.com/mrohmanobet,betemaxx bocahkacang viniranika tanyakanrl rzlfbrnt iki seng ng kkn di desa penari ta,netral,betemaxx bocahkacang viniranika tanyakanrl rzlfbrnt iki seng ng kkn desa tari ta,0.0,netral,0.0,0.0,netral
https://twitter.com/11ahmadYanuar,andrianmaul kkn desa penari,netral,andrianmaul kkn desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/arynty_05,tanyarlfes cerita kkn di desa penari,netral,tanyarlfes cerita kkn desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/arftri___,tanyarlfes gilang bungkus kkn desa penari,netral,tanyarlfes gilang bungkus kkn desa tari,0.0,netral,0.0,0.0,netral
https://twitter.com/kyle39y,kkn di desa penari sebelum iblis menjemput kkn lancelot,netral,kkn desa tari iblis jemput kkn lancelot,0.0,netral,0.0,0.0,netral
